Count of StrategyPlanKey,Datekey,EntityKey,ScenarioKey,AccountKey,ProductCategoryKey,Amount
1,2017-01-01 00:00:00,58,1,4,1,214118.9255
1,2017-01-01 00:00:00,58,1,4,2,3835045.993
1,2017-01-01 00:00:00,58,1,4,3,10406650.0245
1,2017-01-01 00:00:00,58,1,4,4,8245882.5805
1,2017-01-01 00:00:00,58,1,4,5,3460113.106
1,2017-01-01 00:00:00,58,1,4,6,871427.167
1,2017-01-01 00:00:00,58,1,4,7,757784.4329
1,2017-01-01 00:00:00,58,1,4,8,12191109.233
1,2017-01-01 00:00:00,58,1,5,1,77199.84
1,2017-01-01 00:00:00,58,1,5,2,1793527.78
1,2017-01-01 00:00:00,58,1,5,3,4493980.22
1,2017-01-01 00:00:00,58,1,5,4,3136334.44
1,2017-01-01 00:00:00,58,1,5,5,1532050.38
1,2017-01-01 00:00:00,58,1,5,6,337767.2
1,2017-01-01 00:00:00,58,1,5,7,327113.6
1,2017-01-01 00:00:00,58,1,5,8,5624898.06
1,2017-01-01 00:00:00,58,1,7,1,11146.9621
1,2017-01-01 00:00:00,58,1,7,2,99998.56
1,2017-01-01 00:00:00,58,1,8,1,11225.3588
1,2017-01-01 00:00:00,58,1,8,2,100701.8509
1,2017-01-01 00:00:00,58,1,9,1,19904.1685
1,2017-01-01 00:00:00,58,1,9,2,178558.8007
1,2017-01-01 00:00:00,58,1,10,1,9673.959
1,2017-01-01 00:00:00,58,1,10,2,86784.36
1,2017-01-01 00:00:00,58,1,11,1,19813.2941
1,2017-01-01 00:00:00,58,1,11,2,177743.574
1,2017-01-01 00:00:00,58,1,12,1,5050.7549
1,2017-01-01 00:00:00,58,1,12,2,45309.9433
1,2017-01-01 00:00:00,58,1,15,1,96.2541
1,2017-01-01 00:00:00,58,1,15,2,863.4882
1,2017-01-01 00:00:00,58,1,16,1,287.3872
1,2017-01-01 00:00:00,58,1,16,2,2578.1293
1,2017-01-01 00:00:00,58,1,17,1,77.0033
1,2017-01-01 00:00:00,58,1,17,2,690.7906
1,2017-01-01 00:00:00,58,1,19,1,44680.4336
1,2017-01-01 00:00:00,58,1,19,2,400824.815
1,2017-01-01 00:00:00,58,1,20,1,609.6122
1,2017-01-01 00:00:00,58,1,20,2,5468.7849
1,2017-01-01 00:00:00,58,1,21,1,2090.0989
1,2017-01-01 00:00:00,58,1,21,2,18750.1198
1,2017-01-01 00:00:00,58,1,22,1,1436.943
1,2017-01-01 00:00:00,58,1,22,2,12890.7073
1,2017-01-01 00:00:00,58,1,23,1,217.7186
1,2017-01-01 00:00:00,58,1,23,2,1953.1375
1,2017-01-01 00:00:00,58,2,4,1,207570.9435
1,2017-01-01 00:00:00,58,2,4,2,3711701.6895
1,2017-01-01 00:00:00,58,2,4,3,10058285.0393
1,2017-01-01 00:00:00,58,2,4,4,7977328.4693
1,2017-01-01 00:00:00,58,2,4,5,3350380.5044
1,2017-01-01 00:00:00,58,2,4,6,843306.32
1,2017-01-01 00:00:00,58,2,4,7,733586.2892
1,2017-01-01 00:00:00,58,2,4,8,11783729.9958
1,2017-01-01 00:00:00,58,2,5,1,74806.645
1,2017-01-01 00:00:00,58,2,5,2,1737928.4188
1,2017-01-01 00:00:00,58,2,5,3,4354666.8332
1,2017-01-01 00:00:00,58,2,5,4,3039108.0724
1,2017-01-01 00:00:00,58,2,5,5,1484556.8182
1,2017-01-01 00:00:00,58,2,5,6,327296.4168
1,2017-01-01 00:00:00,58,2,5,7,316973.0784
1,2017-01-01 00:00:00,58,2,5,8,5450526.2201
1,2017-01-01 00:00:00,58,2,7,1,10801.4063
1,2017-01-01 00:00:00,58,2,7,2,96898.6046
1,2017-01-01 00:00:00,58,2,8,1,10877.3727
1,2017-01-01 00:00:00,58,2,8,2,97580.0936
1,2017-01-01 00:00:00,58,2,9,1,19287.1393
1,2017-01-01 00:00:00,58,2,9,2,173023.4779
1,2017-01-01 00:00:00,58,2,10,1,9374.0663
1,2017-01-01 00:00:00,58,2,10,2,84094.0449
1,2017-01-01 00:00:00,58,2,11,1,19199.082
1,2017-01-01 00:00:00,58,2,11,2,172233.5232
1,2017-01-01 00:00:00,58,2,12,1,4894.1815
1,2017-01-01 00:00:00,58,2,12,2,43905.3351
1,2017-01-01 00:00:00,58,2,15,1,93.2702
1,2017-01-01 00:00:00,58,2,15,2,836.7202
1,2017-01-01 00:00:00,58,2,16,1,278.4782
1,2017-01-01 00:00:00,58,2,16,2,2498.2073
1,2017-01-01 00:00:00,58,2,17,1,74.6162
1,2017-01-01 00:00:00,58,2,17,2,669.3761
1,2017-01-01 00:00:00,58,2,19,1,43295.3402
1,2017-01-01 00:00:00,58,2,19,2,388399.2457
1,2017-01-01 00:00:00,58,2,20,1,590.7142
1,2017-01-01 00:00:00,58,2,20,2,5299.2526
1,2017-01-01 00:00:00,58,2,21,1,2025.3058
